说明,To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Group,Current Strength,Slew Rate
HEX0：收到的数据的低位,HEX0_D[6],Output,PIN_F13,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[5],Output,PIN_F12,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[4],Output,PIN_G12,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[3],Output,PIN_H13,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[2],Output,PIN_H12,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[1],Output,PIN_F11,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
HEX0：收到的数据的低位,HEX0_D[0],Output,PIN_E11,7,B7_N1,3.3-V LVTTL,,HEX0_D[6..0],,
DEXD0:state[0],HEX0_DP,Output,PIN_D13,7,B7_N1,3.3-V LVTTL,,,,
HEX1：收到的数据的高位,HEX1_D[6],Output,PIN_A15,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[5],Output,PIN_E14,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[4],Output,PIN_B14,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[3],Output,PIN_A14,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[2],Output,PIN_C13,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[1],Output,PIN_B13,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
HEX1：收到的数据的高位,HEX1_D[0],Output,PIN_A13,7,B7_N1,3.3-V LVTTL,,HEX1_D[6..0],,
DEXD0:state[1],HEX1_DP,Output,PIN_B15,7,B7_N1,3.3-V LVTTL,,,,
HEX2：发送的Order的低位,HEX2_D[6],Output,PIN_F14,7,B7_N0,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[5],Output,PIN_B17,7,B7_N1,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[4],Output,PIN_A17,7,B7_N1,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[3],Output,PIN_E15,7,B7_N0,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[2],Output,PIN_B16,7,B7_N1,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[1],Output,PIN_A16,7,B7_N1,3.3-V LVTTL,,HEX2_D[6..0],,
HEX2：发送的Order的低位,HEX2_D[0],Output,PIN_D15,7,B7_N0,3.3-V LVTTL,,HEX2_D[6..0],,
DEXD0:state[2],HEX2_DP,Output,PIN_A18,7,B7_N0,3.3-V LVTTL,,,,
HEX3：发送的Order的高位,HEX3_D[6],Output,PIN_G15,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[5],Output,PIN_D19,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[4],Output,PIN_C19,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[3],Output,PIN_B19,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[2],Output,PIN_A19,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[1],Output,PIN_F15,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
HEX3：发送的Order的高位,HEX3_D[0],Output,PIN_B18,7,B7_N0,3.3-V LVTTL,,HEX3_D[6..0],,
DEXD0:state[3],HEX3_DP,Output,PIN_G16,7,B7_N0,3.3-V LVTTL,,,,
硬件重载：SW0,Reload1,Input,PIN_H2,1,B1_N1,3.3-V LVTTL,,,,
硬件重载：BT0,Reload2,Input,PIN_J6,1,B1_N0,3.3-V LVTTL,,,,
RxIn,Rx,Input,PIN_U22,5,B5_N0,3.3-V LVTTL,,,,
测试输出,TestOut[15],Output,PIN_T9,3,B3_N1,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[14],Output,PIN_T10,3,B3_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[13],Output,PIN_U10,3,B3_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[12],Output,PIN_R11,3,B3_N1,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[11],Output,PIN_T12,4,B4_N1,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[10],Output,PIN_R14,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[9],Output,PIN_T14,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[8],Output,PIN_AA7,3,B3_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[7],Output,PIN_AA9,3,B3_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[6],Output,PIN_AB9,3,B3_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[5],Output,PIN_V15,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[4],Output,PIN_W15,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[3],Output,PIN_U15,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[2],Output,PIN_W17,4,B4_N0,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[1],Output,PIN_AB17,4,B4_N1,3.3-V LVTTL,,TestOut[15..0],,
测试输出,TestOut[0],Output,PIN_AA17,4,B4_N1,3.3-V LVTTL,,TestOut[15..0],,
TxOut,TxOut,Output,PIN_U21,5,B5_N0,3.3-V LVTTL,,,,
测试输入,Xin[15],Input,PIN_V8,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[14],Input,PIN_W10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[13],Input,PIN_Y10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[12],Input,PIN_R10,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[11],Input,PIN_V12,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[10],Input,PIN_W13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[9],Input,PIN_Y13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[8],Input,PIN_V14,4,B4_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[7],Input,PIN_AA4,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[6],Input,PIN_AB4,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[5],Input,PIN_AA5,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[4],Input,PIN_AB5,3,B3_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[3],Input,PIN_AB8,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[2],Input,PIN_AA10,3,B3_N0,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[1],Input,PIN_AA13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
测试输入,Xin[0],Input,PIN_AB13,4,B4_N1,3.3-V LVTTL,,Xin[15..0],,
